category,category_description,total_sales,total_qty,distinct_products
999996.0,DELI MISC,65423.03,16117.0,78
90201.0,Fresh Meat Ground Beef,47039.62,4223.0,14
36099.0,MISC WATER SOFT DRINKS MIXES,38447.4,9227.0,33
999995.0,DELI HOT MISC,34566.33,3821.0,15
220003.0,MILK,21696.79,5934.0,14
33022.0,POTATO CHIP - BAGGED,16531.25,4023.0,30
90401.0,Fresh Meat Chicken,16464.37,1989.0,14
91601.0,Smoked Meat Bacon,13520.37,2816.0,19
90121.0,BEEF GRILLING STEAKS,12371.91,1168.0,9
90101.0,Fresh Meat Beef,11015.06,1477.0,12
47001.0,EGGS FRESH,10567.36,2574.0,7
130000.0,PLANTS AND FLOWERS,10489.55,1880.0,11
120000.0,FRUIT PRECUT FRESH,10156.26,1697.0,9
1006.0,BABY FORMULA/ELECTROLYTE SOLUT,9405.93,382.0,7
36005.0,WATER PLASTIC BOTTLE,8589.18,2394.0,7
90351.0,WHOLE PORK,8396.58,629.0,3
91901.0,Meat Misc.,8094.55,1507.0,2
110000.0,SALADS PRECUT FRESH,7447.56,2198.0,14
999998.0,MEAT MISC,6765.55,538.0,9
90141.0,BEEF ROASTS,6347.53,467.0,6
80030.0,GRAPES,6340.87,936.0,5
79010.0,STRAWBERRIES,6044.9400000000005,2026.0,2
90321.0,Fresh Meat Pork Boneless Loin,5912.34,901.0,11
57003.0,TEAS,5775.12,1507.0,4
56000.0,DELI ITEMS - MEAT DEPT,5687.27,690.0,7
84000.0,BANANAS,5348.12,3723.0,1
55002.0,COTTAGE CHEESE,5333.88,846.0,4
953001.0,BREAD NATIONAL BRAND,5118.54,1884.0,10
76220.0,T/S SWEET GOODS,5070.349999999999,465.0,2
33031.0,SNACK CAKES - MULTI PACKS,4512.03,1595.0,12
91201.0,Smoked Meat Wieners,4355.42,2645.0,7
91361.0,SMOKED MEATS BRATS,4046.32,796.0,6
56030.0,DELI SALADS AND DESSERTS,4022.83,625.0,7
89050.0,RUSSET IDAHO,3801.18,1512.0,5
87040.0,PEPPERS,3728.69,2325.0,5
888868.0,GRILLS/OUTDOOR COOKERS (ACE),3548.86,7.0,6
50005.0,NATURAL SHREDDED CHEESE,3485.28,600.0,10
870746.0,BAG PRODUCTS (ACE),3399.56,487.0,5
130020.0,ARRANGEMENTS,3349.49,98.0,1
91421.0,Holiday Hams,3333.91,167.0,5
81030.0,WATERMELON,3208.03,607.0,1
90791.0,Frozen Meat Patties,3143.68,160.0,4
76195.0,T/S CAKES,3041.9300000000003,341.0,2
53001.0,MARGARINE/SPREADS/MARG BLENDS,3007.8,693.0,5
760210.0,PRODUCE DEPT,2995.9199999999996,168.0,1
100010.0,TOMATOES HOT HOUSE,2881.02,1318.0,2
828286.0,HEAVY-DUTY POWER TOOLS (ACE),2856.0,14.0,5
38001.0,GRANULATED,2779.16,718.0,3
236001.0,ICE,2683.65,794.0,2
74020.0,ICE CREAM/FUDGE,2657.42,405.0,6
90361.0,Fresh Meat Pork Spare Rib,2639.5499999999997,217.0,3
73025.0,MAIN STREAM ICE CREAM,2634.0,332.0,4
51001.0,AMERICAN SLICED,2612.23,729.0,3
828285.0,CONSUMER POWER TOOLS (ACE),2600.0,20.0,3
71001.0,ECONOMY PIZZA,2580.64,643.0,6
82080.0,CITRIS VARIETY,2557.67,918.0,2
90341.0,Fresh Meat Pork Boston Butt,2349.2400000000002,182.0,4
87100.0,ICEBURG LETTUCE,2224.38,937.0,1
89020.0,RUSSET,2143.83,817.0,2
953002.0,BREAD PRIVATE LABEL,2116.3,1189.0,2
91301.0,Smoked Meat Sausage,2031.8600000000001,435.0,5
36004.0,WATER BULK,2004.4499999999998,1315.0,4
86020.0,CARROTS,1913.76,1084.0,4
88030.0,ONIONS SWEET YELLOW,1858.5700000000002,1170.0,2
91351.0,Smoked Meat Smoked Sausage,1845.44,436.0,5
86025.0,BROCCOLI,1784.27,450.0,1
86110.0,COOKING VEGETABLES VARIETY,1777.09,351.0,2
83010.0,WASHINGTON BULK,1767.1,320.0,2
90301.0,Fresh Meat Pork Loin,1749.81,205.0,4
29001.0,BEANS PORK & BEANS,1748.6499999999999,1097.0,4
73020.0,PREMIUM ICE CREAM,1747.4099999999999,254.0,4
87020.0,CUCUMBERS,1742.8400000000001,1164.0,2
8001.0,KETCHUP,1726.0400000000002,762.0,4
67002.0,SINGLE SERVE ECONOMY MEALS,1676.68,994.0,4
999994.0,PRODUCE MISC,1668.45,105.0,4
76100.0,DONUTS,1610.35,185.0,2
91101.0,Smoked Meat Bologna,1561.03,712.0,4
90701.0,Frozen Meat,1539.04,164.0,4
30004.0,LIQUID SALAD DRESSING,1521.2,314.0,2
50002.0,NATURAL SLICED CHEESE,1485.18,563.0,4
53002.0,BUTTER,1465.87,338.0,3
