category,category_description,sub_department,sub_department_description,total_sales,total_qty,distinct_products
999996.0,DELI MISC,13.0,Cold Deli,65114.01,16066.0,77
90201.0,Fresh Meat Ground Beef,21.0,Meat by #,44595.75,3943.0,10
36099.0,MISC WATER SOFT DRINKS MIXES,45.0,Soft Drinks,36625.700000000004,8915.0,30
999995.0,DELI HOT MISC,12.0,Hot Deli,28845.4,3413.0,13
220003.0,MILK,24.0,Wic Dairy,18998.329999999998,5024.0,9
33022.0,POTATO CHIP - BAGGED,1.0,Grocery,16531.25,4023.0,30
90401.0,Fresh Meat Chicken,21.0,Meat by #,14845.44,1687.0,12
91601.0,Smoked Meat Bacon,9.0,Meat,13520.37,2816.0,19
130000.0,PLANTS AND FLOWERS,29.0,Floral,9850.32,1561.0,10
1006.0,BABY FORMULA/ELECTROLYTE SOLUT,23.0,Wic Grocery,9405.93,382.0,7
120000.0,FRUIT PRECUT FRESH,25.0,Wic Produce,9253.57,1542.0,8
36005.0,WATER PLASTIC BOTTLE,1.0,Grocery,8589.18,2394.0,7
90351.0,WHOLE PORK,21.0,Meat by #,8396.58,629.0,3
91901.0,Meat Misc.,9.0,Meat,8094.55,1507.0,2
90121.0,BEEF GRILLING STEAKS,21.0,Meat by #,7513.11,541.0,5
110000.0,SALADS PRECUT FRESH,25.0,Wic Produce,7112.72,2142.0,13
90101.0,Fresh Meat Beef,21.0,Meat by #,7034.48,1082.0,9
47001.0,EGGS FRESH,24.0,Wic Dairy,6431.33,1790.0,4
80030.0,GRAPES,25.0,Wic Produce,6340.87,936.0,5
79010.0,STRAWBERRIES,25.0,Wic Produce,6044.9400000000005,2026.0,2
57003.0,TEAS,6.0,Dairy,5775.12,1507.0,4
999998.0,MEAT MISC,9.0,Meat,5658.98,509.0,8
999995.0,DELI HOT MISC,29.0,Floral,5372.13,368.0,1
84000.0,BANANAS,25.0,Wic Produce,5348.12,3723.0,1
55002.0,COTTAGE CHEESE,6.0,Dairy,5333.88,846.0,4
953001.0,BREAD NATIONAL BRAND,1.0,Grocery,5118.54,1884.0,10
76220.0,T/S SWEET GOODS,13.0,Cold Deli,5070.349999999999,465.0,2
90121.0,BEEF GRILLING STEAKS,9.0,Meat,4858.8,627.0,4
33031.0,SNACK CAKES - MULTI PACKS,1.0,Grocery,4512.03,1595.0,12
91201.0,Smoked Meat Wieners,9.0,Meat,4355.42,2645.0,7
47001.0,EGGS FRESH,6.0,Dairy,4136.03,784.0,3
91361.0,SMOKED MEATS BRATS,9.0,Meat,4046.32,796.0,6
56030.0,DELI SALADS AND DESSERTS,13.0,Cold Deli,4022.83,625.0,7
90101.0,Fresh Meat Beef,9.0,Meat,3980.58,395.0,3
87040.0,PEPPERS,25.0,Wic Produce,3728.69,2325.0,5
56000.0,DELI ITEMS - MEAT DEPT,13.0,Cold Deli,3724.85,402.0,5
888868.0,GRILLS/OUTDOOR COOKERS (ACE),888.0,Outdoor Living and Furniture,3548.86,7.0,6
90141.0,BEEF ROASTS,9.0,Meat,3437.21,274.0,2
870746.0,BAG PRODUCTS (ACE),870.0,Lawn/Garden/Farm Supplies,3399.56,487.0,5
130020.0,ARRANGEMENTS,29.0,Floral,3349.49,98.0,1
89050.0,RUSSET IDAHO,25.0,Wic Produce,3316.85,1249.0,4
90321.0,Fresh Meat Pork Boneless Loin,21.0,Meat by #,3231.27,649.0,7
81030.0,WATERMELON,25.0,Wic Produce,3208.03,607.0,1
90791.0,Frozen Meat Patties,9.0,Meat,3143.68,160.0,4
76195.0,T/S CAKES,13.0,Cold Deli,3041.9300000000003,341.0,2
91421.0,Holiday Hams,21.0,Meat by #,3022.13,145.0,4
53001.0,MARGARINE/SPREADS/MARG BLENDS,6.0,Dairy,3007.8,693.0,5
760210.0,PRODUCE DEPT,29.0,Floral,2995.9199999999996,168.0,1
90141.0,BEEF ROASTS,21.0,Meat by #,2910.3199999999997,193.0,4
100010.0,TOMATOES HOT HOUSE,25.0,Wic Produce,2881.02,1318.0,2
38001.0,GRANULATED,1.0,Grocery,2779.16,718.0,3
220003.0,MILK,6.0,Dairy,2698.46,910.0,5
236001.0,ICE,1.0,Grocery,2683.65,794.0,2
90321.0,Fresh Meat Pork Boneless Loin,9.0,Meat,2681.0699999999997,252.0,4
74020.0,ICE CREAM/FUDGE,7.0,Frozen Food,2657.42,405.0,6
73025.0,MAIN STREAM ICE CREAM,7.0,Frozen Food,2634.0,332.0,4
51001.0,AMERICAN SLICED,6.0,Dairy,2612.23,729.0,3
71001.0,ECONOMY PIZZA,7.0,Frozen Food,2580.64,643.0,6
82080.0,CITRIS VARIETY,25.0,Wic Produce,2557.67,918.0,2
50005.0,NATURAL SHREDDED CHEESE,6.0,Dairy,2451.55,335.0,7
90201.0,Fresh Meat Ground Beef,9.0,Meat,2443.87,280.0,4
90341.0,Fresh Meat Pork Boston Butt,21.0,Meat by #,2349.2400000000002,182.0,4
90361.0,Fresh Meat Pork Spare Rib,21.0,Meat by #,2296.96,173.0,2
87100.0,ICEBURG LETTUCE,25.0,Wic Produce,2224.38,937.0,1
953002.0,BREAD PRIVATE LABEL,1.0,Grocery,2116.3,1189.0,2
36004.0,WATER BULK,1.0,Grocery,2004.4499999999998,1315.0,4
56000.0,DELI ITEMS - MEAT DEPT,12.0,Hot Deli,1962.42,288.0,2
86020.0,CARROTS,25.0,Wic Produce,1913.76,1084.0,4
88030.0,ONIONS SWEET YELLOW,25.0,Wic Produce,1858.5700000000002,1170.0,2
91351.0,Smoked Meat Smoked Sausage,9.0,Meat,1845.44,436.0,5
86025.0,BROCCOLI,25.0,Wic Produce,1784.27,450.0,1
86110.0,COOKING VEGETABLES VARIETY,25.0,Wic Produce,1777.09,351.0,2
83010.0,WASHINGTON BULK,25.0,Wic Produce,1767.1,320.0,2
90301.0,Fresh Meat Pork Loin,21.0,Meat by #,1749.81,205.0,4
29001.0,BEANS PORK & BEANS,1.0,Grocery,1748.6499999999999,1097.0,4
73020.0,PREMIUM ICE CREAM,7.0,Frozen Food,1747.4099999999999,254.0,4
87020.0,CUCUMBERS,25.0,Wic Produce,1742.8400000000001,1164.0,2
8001.0,KETCHUP,1.0,Grocery,1726.0400000000002,762.0,4
91301.0,Smoked Meat Sausage,9.0,Meat,1704.95,351.0,4
67002.0,SINGLE SERVE ECONOMY MEALS,7.0,Frozen Food,1676.68,994.0,4
828286.0,HEAVY-DUTY POWER TOOLS (ACE),828.0,Power Tools,1673.0,7.0,4
90401.0,Fresh Meat Chicken,9.0,Meat,1618.93,302.0,2
76100.0,DONUTS,13.0,Cold Deli,1610.35,185.0,2
91101.0,Smoked Meat Bologna,9.0,Meat,1561.03,712.0,4
90701.0,Frozen Meat,9.0,Meat,1539.04,164.0,4
30004.0,LIQUID SALAD DRESSING,1.0,Grocery,1521.2,314.0,2
828285.0,CONSUMER POWER TOOLS (ACE),820.0,Hand Tools and Tool Accessorie,1490.0,10.0,1
53002.0,BUTTER,6.0,Dairy,1465.87,338.0,3
91751.0,Smoked Meats Side Dishes,9.0,Meat,1465.45,315.0,2
87010.0,AVOCADOES,25.0,Wic Produce,1371.08,924.0,1
55003.0,SOUR CREAM,6.0,Dairy,1368.89,476.0,2
88010.0,ONIONS VARIETY,25.0,Wic Produce,1346.26,428.0,2
52001.0,BRICK,6.0,Dairy,1345.55,329.0,2
29013.0,MAC & CHEESE LIQUID DINNERS,1.0,Grocery,1312.24,311.0,3
80050.0,PEACHES,25.0,Wic Produce,1300.81,341.0,1
89020.0,RUSSET,25.0,Wic Produce,1300.39,531.0,1
36001.0,SOFT DRINKS REGULAR,45.0,Soft Drinks,1300.3400000000001,193.0,3
220001.0,CREAM/CREAMERS,6.0,Dairy,1299.03,147.0,2
90151.0,WHOLE BEEF,21.0,Meat by #,1293.92,16.0,1
999994.0,PRODUCE MISC,11.0,Produce,1291.83,67.0,3
7009.0,COFFEE MAINSTREAM CORE LARGE C,1.0,Grocery,1288.71,117.0,2
76000.0,BAKERY ITEMS,13.0,Cold Deli,1288.48,225.0,3
86045.0,CORN,25.0,Wic Produce,1256.21,4095.0,1
33011.0,RTE POPCORN,1.0,Grocery,1211.82,228.0,2
83015.0,WASHINGTON BAGS,25.0,Wic Produce,1206.0500000000002,245.0,2
90601.0,Frozen Meat Fish Whole,9.0,Meat,1183.27,133.0,2
