sub_department_description,category_description,total_sales,total_qty,total_cost,distinct_products
BlackHawk NonTaxable,BH GIFT CARDS,850.0,14.0,14.0,2
Cold Deli,BAKERY ITEMS,1288.48,225.0,2.25,3
Cold Deli,DELI HOT MISC,348.8,40.0,0.4,1
Cold Deli,DELI ITEMS - MEAT DEPT,3724.85,402.0,65.11,5
Cold Deli,DELI MISC,65114.01,16066.0,803.9016666666666,77
Cold Deli,DELI SALADS AND DESSERTS,4022.83,625.0,6.25,7
Cold Deli,DONUTS,1610.35,185.0,1.85,2
Cold Deli,MISC DELI ITEMS,888.2,140.0,1.4,2
Cold Deli,T/S BREADS/ROLLS,642.78,72.0,381.88800000000003,1
Cold Deli,T/S CAKES,3041.9300000000003,341.0,340.0,2
Cold Deli,T/S COOKIES,960.07,193.0,523.1233333333333,3
Cold Deli,T/S DONUTS,406.51,134.0,292.12,1
Cold Deli,T/S SWEET GOODS,5070.349999999999,465.0,257.3483333333333,2
Cold Deli,TURKEY BREAST,548.19,66.0,0.66,1
Dairy,100% JUICE,391.06,44.0,309.32,1
Dairy,AMERICAN SLICED,2612.23,729.0,2502.605,3
Dairy,BISCUIT DOUGH,607.26,178.0,507.59666666666664,2
Dairy,BREAD ROLLS BUN DOUGH,306.68,94.0,282.70500000000004,1
Dairy,BRICK,1345.55,329.0,1340.4327777777778,2
Dairy,BUTTER,1465.87,338.0,1401.9775,3
Dairy,COTTAGE CHEESE,5333.88,846.0,3663.4775,4
Dairy,CREAM/CREAMERS,1299.03,147.0,826.7099999999999,2
Dairy,DIPS/FLAVORED SPREADS/DRESSING,916.9499999999999,250.0,625.0,1
Dairy,DRINKS/PUNCH/ADES,333.19,65.0,200.3625,1
Dairy,EGGS FRESH,4136.03,784.0,3648.0694999999996,3
Dairy,GRATED CHEESE,510.38000000000005,142.0,592.4358333333333,1
Dairy,HALF & HALF,400.59000000000003,96.0,237.12,1
Dairy,MARGARINE/SPREADS/MARG BLENDS,3007.8,693.0,2306.89375,5
Dairy,MILK,2698.46,910.0,1846.4900000000002,5
Dairy,NATURAL SHREDDED CHEESE,2451.55,335.0,2595.8287499999997,7
Dairy,NATURAL SLICED CHEESE,616.3,233.0,717.4616363636364,2
Dairy,NATURAL/ORGANIC/SPECIALTY,1277.3899999999999,222.0,991.6560000000001,3
Dairy,NON-DAIRY TOPPINGS,361.94,96.0,289.6,1
