product_code,total_sales,total_prev_week_1_sales,total_prev_week_2_sales,total_weeks,sales_trend
1018677323.0,9.99,0.0,0.0,1,Almost
1022810403.0,6.0,3.0,0.0,2,Rising
1022810404.0,15.0,5.0,0.0,2,Rising
1037416200.0,55.93,39.95,31.96,5,Rising
1037416201.0,63.92,39.95,23.97,4,Rising
1037416205.0,119.85,111.86,63.92,7,Rising
1037416270.0,23.97,15.98,0.0,2,Rising
1037422282.0,59.9,53.91,47.92,6,Rising
1037422284.0,11.98,5.99,0.0,2,Rising
1037422285.0,47.92,35.94,23.96,5,Rising
1037442060.0,154.9,122.92,106.93,6,Rising
1037442063.0,59.96,14.99,0.0,2,Rising
1037442065.0,283.84,247.86,175.9,5,Rising
1063144400474.0,179.98,0.0,0.0,1,Almost
1066807502.0,78.19,69.2,34.6,4,Rising
1066807503.0,43.59,34.6,25.95,4,Rising
1066807519.0,60.89,43.25,25.95,3,Rising
1066807524.0,43.59,34.6,17.3,4,Rising
1066830104.0,25.99,17.3,0.0,2,Rising
1066830107.0,25.99,8.65,0.0,2,Rising
1066830109.0,17.34,8.65,0.0,2,Rising
1070002152.0,32.0,27.03,22.26,6,Rising
1070002440.0,11.83,10.14,8.45,6,Rising
1070006080.0,70.95,67.65,62.7,8,Rising
1070008813.0,5.07,3.38,1.69,3,Rising
1070050180.0,28.71,19.14,15.95,5,Rising
1070053005.0,149.68,81.78,67.23,6,Rising
1070053006.0,100.72,91.02,52.68,7,Rising
1070053100.0,25.52,12.76,9.57,5,Rising
1070070230.0,34.52,30.83,23.45,5,Rising
1070070810.0,59.4,39.6,24.75,6,Rising
1070080422.0,54.45,52.8,49.5,8,Rising
1070080722.0,47.85,42.9,36.3,7,Rising
1070080727.0,97.11,92.13,77.19,7,Rising
1070080880.0,5.0,0.0,0.0,1,Almost
1070085840.0,5.07,3.38,1.69,3,Rising
1090000015.0,60.75,40.5,27.0,5,Rising
1090000018.0,117.52,88.14,73.45,4,Rising
1090000021.0,94.5,87.75,74.25,7,Rising
1090000024.0,95.03,83.85,67.08,6,Rising
1090000028.0,119.88,109.89,89.91,5,Rising
1090000103.0,38.39,27.92,24.43,4,Rising
1090000330.0,32.89,26.91,17.94,6,Rising
1090000383.0,11.94,9.95,7.96,3,Rising
1090000504.0,44.85,41.4,10.35,4,Rising
1090000510.0,2.79,0.0,0.0,1,Almost
1090000531.0,3.85,0.0,0.0,1,Almost
1090008031.0,68.77,59.8,44.85,6,Rising
1090027892.0,20.25,13.5,0.0,2,Rising
1090071335.0,10.9,5.45,0.0,2,Rising
1090074331.0,32.7,27.25,21.8,5,Rising
1102900127.0,59.88,44.91,39.92,6,Rising
1102900227.0,89.82,84.83,69.86,6,Rising
1104794440.0,29.99,0.0,0.0,1,Almost
1104799410.0,9.99,0.0,0.0,1,Almost
1111042207.0,469.06,449.1,374.25,8,Rising
1111043110.0,6.98,0.0,0.0,1,Almost
1111101412.0,29.96,22.47,14.98,3,Rising
1111101413.0,14.98,7.49,0.0,2,Rising
1111112224.0,21.5,0.0,0.0,1,Almost
1111112412.0,7.69,0.0,0.0,1,Almost
1111124091.0,6.85,0.0,0.0,1,Almost
1111132524.0,2.15,0.0,0.0,1,Almost
1111161133.0,29.95,23.96,11.98,3,Rising
1111500195.0,70.2,11.7,0.0,2,Rising
1111515675.0,43.75,37.5,18.75,5,Rising
1111515676.0,25.0,12.5,6.25,3,Rising
1111515686.0,12.5,0.0,0.0,1,Almost
1111522427.0,157.15,143.68,121.23,7,Rising
1111587132.0,222.75,217.8,174.9,8,Rising
1112000810.0,65.98,32.99,0.0,2,Rising
1112003729.0,15.0,10.0,5.0,3,Rising
1112003730.0,199.95,39.99,0.0,2,Rising
1112017846.0,199.96,149.97,49.99,3,Rising
1115202140.0,11.78,5.89,0.0,2,Rising
1115209456.0,15.65,12.46,9.27,4,Rising
1115605075.0,14.85,9.9,4.95,3,Rising
1115605805.0,23.12,20.23,11.56,4,Rising
1116210230.0,80.91,71.92,53.94,5,Rising
1116211127.0,53.94,44.95,35.96,6,Rising
1117135957.0,4.39,0.0,0.0,1,Almost
1117905082.0,7.0,3.0,1.0,3,Rising
1117905085.0,7.0,5.0,3.0,5,Rising
1117905088.0,3.0,1.0,0.0,2,Rising
1117905094.0,3.0,1.0,0.0,2,Rising
1117905095.0,6.0,4.0,0.0,2,Rising
1117905501.0,1.0,0.0,0.0,1,Almost
1117906905.0,10.0,0.0,0.0,1,Almost
1117973081.0,2.09,0.0,0.0,1,Almost
1117973082.0,2.09,0.0,0.0,1,Almost
1117973084.0,6.27,0.0,0.0,1,Almost
1117973085.0,10.45,8.36,0.0,2,Rising
1117973086.0,1.49,0.0,0.0,1,Almost
1121000001.0,15.75,11.25,4.5,4,Rising
1121000003.0,8.49,0.0,0.0,1,Almost
1121000609.0,6.7,3.35,0.0,2,Rising
1121000622.0,19.56,14.67,9.78,4,Rising
1121000770.0,4.89,0.0,0.0,1,Almost
1121000832.0,19.96,14.97,9.98,4,Rising
1121000930.0,4.89,0.0,0.0,1,Almost
1123349020.0,119.85,95.88,71.91,6,Rising
1123349024.0,71.91,63.92,55.93,7,Rising
1128400301.0,322.0,262.0,215.0,7,Rising
1128400302.0,264.0,261.0,235.0,8,Rising
1128400303.0,223.0,222.0,191.0,8,Rising
1128400306.0,110.0,107.0,93.0,8,Rising
1128400307.0,86.0,84.0,70.0,8,Rising
1128400311.0,186.0,184.0,173.0,8,Rising
1128400315.0,97.0,90.0,82.0,6,Rising
1128400316.0,78.0,61.0,46.0,6,Rising
1128400357.0,33.0,28.0,22.0,7,Rising
1165114515.0,8.99,0.0,0.0,1,Almost
1167506039.0,9.99,0.0,0.0,1,Almost
1171155257.0,21.98,10.99,0.0,2,Rising
1171155258.0,87.92,65.94,54.95,4,Rising
1171155259.0,43.96,10.99,0.0,2,Rising
1171155260.0,10.99,0.0,0.0,1,Almost
1186310976.0,17.97,5.99,0.0,2,Rising
1186311007.0,29.95,17.97,11.98,4,Rising
1186311918.0,67.41,59.92,52.43,5,Rising
1186312454.0,7.49,0.0,0.0,1,Almost
1198401106.0,74.85,49.9,44.91,7,Rising
1198401147.0,14.97,9.98,4.99,3,Rising
1198401149.0,9.98,4.99,0.0,2,Rising
1198401164.0,29.94,24.95,14.97,4,Rising
1198401167.0,4.99,0.0,0.0,1,Almost
1198401500.0,64.87,54.89,49.9,6,Rising
1200000017.0,3222.85,3177.88,2998.0,8,Rising
1200000088.0,5321.45,5231.51,4766.82,8,Rising
1200000129.0,707.61,696.16,602.27,8,Rising
1200000131.0,1346.52,1330.49,1138.13,8,Rising
1200000134.0,316.02,311.44,258.77,8,Rising
1200000159.0,345.79,325.18,286.25,8,Rising
1200000170.0,2053.63,1963.69,1858.76,7,Rising
1200000180.0,15.16,11.37,0.0,2,Rising
1200000224.0,54.96,52.67,38.93,4,Rising
1200000230.0,592.2,529.69,463.89,7,Rising
1200000233.0,595.49,588.91,509.95,8,Rising
1200000311.0,62.51,55.93,49.35,7,Rising
1200000452.0,98.54,79.59,68.22,7,Rising
1200000746.0,523.11,513.24,444.15,8,Rising
1200000935.0,72.38,62.51,59.22,7,Rising
1200001270.0,31.96,15.98,7.99,3,Rising
1200001276.0,255.68,247.69,207.74,8,Rising
1200001279.0,239.7,231.71,207.74,8,Rising
1200001420.0,154.44,124.41,111.54,7,Rising
1200001426.0,662.22,653.73,551.85,8,Rising
1200001593.0,619.77,611.28,577.32,8,Rising
1200001672.0,49.27,45.48,41.69,8,Rising
1200001700.0,95.88,87.89,71.91,8,Rising
1200001711.0,95.88,87.89,71.91,5,Rising
1200001879.0,349.65,309.69,269.73,6,Rising
1200001880.0,194.65,185.49,180.91,8,Rising
1200001881.0,75.67,72.38,55.93,7,Rising
1200002449.0,539.64,509.66,479.68,7,Rising
1200002845.0,37.9,34.11,26.53,4,Rising
1200002847.0,3.79,0.0,0.0,1,Almost
1200002849.0,72.01,41.69,37.9,4,Rising
1200003187.0,13.93,11.94,7.96,4,Rising
1200003196.0,1188.3,1167.33,1048.5,8,Rising
1200003848.0,79.59,72.01,64.43,6,Rising
1200004300.0,1.79,0.0,0.0,1,Almost
1200010092.0,116.87,80.91,71.92,7,Rising
1200010114.0,35.96,26.97,17.98,3,Rising
1200010190.0,19.9,15.92,9.95,3,Rising
1200010205.0,768.9,761.91,671.04,8,Rising
1200010542.0,62.51,59.22,46.06,7,Rising
1200010735.0,5815.68,5046.78,4187.01,7,Rising
1200010798.0,599.6,569.62,524.65,6,Rising
1200011044.0,37.59,35.8,34.01,5,Rising
1200011046.0,8.95,3.58,0.0,2,Rising
1200011224.0,127.84,95.88,87.89,6,Rising
1200013032.0,239.76,219.78,189.81,7,Rising
1200014092.0,82.81,79.43,76.05,8,Rising
1200014094.0,118.3,106.47,89.57,7,Rising
1200014207.0,92.51,76.56,54.23,7,Rising
1200014208.0,95.7,92.51,63.8,6,Rising
1200016115.0,19.71,8.76,6.57,4,Rising
1200016116.0,41.17,35.8,26.85,6,Rising
1200016199.0,79.75,60.61,51.04,7,Rising
1200017077.0,399.6,379.62,299.7,7,Rising
1200017144.0,124.75,94.81,74.85,5,Rising
1200017145.0,14.97,9.98,4.99,3,Rising
1200017147.0,19.96,14.97,0.0,2,Rising
1200017150.0,24.95,9.98,0.0,2,Rising
1200017152.0,34.93,29.94,14.97,4,Rising
1200017163.0,2.29,0.0,0.0,1,Almost
1200017174.0,254.19,249.61,203.81,8,Rising
1200017176.0,309.26,305.97,263.2,8,Rising
1200017185.0,854.43,824.45,764.49,7,Rising
1200017186.0,409.59,329.67,239.76,7,Rising
1200017195.0,5074.74,5039.79,4368.75,8,Rising
1200017200.0,42.45,25.47,0.0,2,Rising
1200017209.0,319.68,289.71,229.77,6,Rising
