transaction_date,store,terminal,customer_number,transaction_number,points
2/27/2025,461,2,40000020009,399066,5
2/27/2025,461,2,40000020502,399079,169
2/27/2025,461,2,44000345282,399082,67
2/27/2025,461,2,40000020245,399086,54
2/27/2025,461,2,44000341014,399102,19
2/27/2025,461,1,41461004979,362550,30
2/27/2025,461,4,40000022514,177806,133
2/27/2025,461,2,40000021031,399125,137
2/27/2025,461,2,40000020028,399093,80
2/27/2025,461,2,40000028208,399097,140
2/27/2025,461,2,40000020320,399103,5
2/27/2025,461,1,44000108902,362552,36
2/27/2025,461,4,44000291227,177805,8
2/27/2025,461,2,40000020240,399118,97
2/27/2025,461,2,41461005348,399119,24
2/27/2025,461,2,40000021918,399121,13
2/27/2025,461,4,40000020840,177825,43
2/27/2025,461,2,44000323352,399126,81
2/27/2025,461,4,40000020390,177818,99
2/27/2025,461,4,40000020711,177820,5
2/27/2025,461,4,44000362099,177830,49
2/27/2025,461,2,40000020467,399130,17
2/27/2025,461,4,40000021179,177833,11
2/27/2025,461,4,40000020356,177840,50
2/27/2025,461,2,44000202635,399135,30
2/27/2025,461,2,41461004109,399149,66
2/27/2025,461,4,44000197581,177842,81
2/27/2025,461,4,40000021918,177850,17
2/27/2025,461,2,44000204847,399155,80
2/27/2025,461,4,40000028159,177853,17
2/27/2025,461,4,40000020030,177855,19
2/27/2025,461,4,40000020063,177856,40
2/27/2025,461,4,40000020929,177857,29
2/27/2025,461,2,40000020860,399162,13
2/27/2025,461,2,40000020516,399164,41
2/27/2025,461,2,44000333786,399167,152
2/27/2025,461,4,44000063625,177880,5
2/27/2025,461,4,40000020696,177864,381
2/27/2025,461,2,44000353102,399166,102
2/27/2025,461,4,41461004808,177873,11
2/27/2025,461,4,44000208586,177874,39
2/27/2025,461,4,41451000785,177878,46
2/27/2025,461,4,41461002047,177883,88
2/27/2025,461,4,40000020591,177884,39
2/27/2025,461,4,44000267039,177887,51
2/27/2025,461,4,40000020337,177905,29
2/27/2025,461,4,40000022113,177909,46
2/27/2025,461,2,40000020269,399170,217
2/27/2025,461,4,40000021332,177913,6
2/27/2025,461,4,44000362682,177914,93
2/27/2025,461,4,44000272070,177892,21
2/27/2025,461,4,40000020357,177898,46
2/27/2025,461,4,44000317474,177903,32
2/27/2025,461,4,41461002328,177917,38
2/27/2025,461,4,44000365811,177923,12
2/27/2025,461,2,41450011197,399173,104
2/27/2025,461,3,40000020946,181127,9
2/27/2025,461,2,44000098463,399176,21
2/27/2025,461,3,40000020009,181130,8
2/27/2025,461,2,44000361446,399192,14
2/27/2025,461,4,44000111705,177934,137
2/27/2025,461,2,40000021531,399197,47
2/27/2025,461,2,40000021079,399181,63
2/27/2025,461,2,40000021695,399186,54
2/27/2025,461,3,41461005349,181132,45
2/27/2025,461,3,40000021157,181133,23
2/27/2025,461,2,40000020165,399180,18
2/27/2025,461,4,44000297832,177935,44
2/27/2025,461,3,44000209263,181146,56
2/27/2025,461,3,40000020616,181148,10
2/27/2025,461,2,40000004672,399204,53
2/27/2025,461,2,40000020293,399210,27
2/27/2025,461,2,44000211373,399218,39
2/27/2025,461,2,44000212137,399222,56
2/27/2025,461,3,44000365221,181165,34
2/27/2025,461,3,44000007309,181171,87
2/27/2025,461,3,44000366159,181172,51
2/27/2025,461,3,40000021561,181157,28
2/27/2025,461,3,44000362287,181163,120
2/27/2025,461,3,40000022507,181187,4
2/27/2025,461,2,41461005330,399228,38
2/27/2025,461,3,44000263428,181166,9
2/27/2025,461,4,44000236378,177938,15
2/27/2025,461,4,44000338996,177943,10
2/27/2025,461,4,41461000052,177946,95
2/27/2025,461,3,41461000052,181183,81
2/27/2025,461,3,40000020377,181190,32
2/27/2025,461,3,40000021088,181191,32
2/27/2025,461,3,40000003912,181193,91
2/27/2025,461,3,40000003912,181194,10
2/27/2025,461,3,40000020219,181195,36
2/27/2025,461,3,40000020309,181198,42
2/27/2025,461,3,40000028208,181201,153
2/27/2025,461,4,44000240072,177957,9
