transaction_date,store,terminal,customer_number,transaction_number,points
2/27/2025,451,6,40000028840,115892,100
2/27/2025,451,6,40000028514,115893,150
2/27/2025,451,6,41440000683,115895,50
2/27/2025,451,6,40000027841,115900,100
2/27/2025,451,6,40000027902,115902,100
2/27/2025,451,6,40000028111,115903,100
2/27/2025,451,6,41451008734,115904,150
2/27/2025,451,6,40000020264,115905,600
2/27/2025,451,6,40000028954,115906,200
2/27/2025,451,6,40000028401,115901,300
2/27/2025,451,6,44000110967,115908,50
2/27/2025,451,6,40000006452,115913,350
2/27/2025,451,6,41440000121,115918,400
2/27/2025,451,6,40000028029,115919,50
2/27/2025,451,6,40000028854,115917,250
2/27/2025,451,6,40000028199,115921,500
2/27/2025,451,6,41451009093,115926,50
2/27/2025,451,6,40000005561,115923,100
2/27/2025,451,6,44000326767,115928,300
2/27/2025,451,6,40000029592,115931,350
2/27/2025,451,6,44000320852,115929,100
2/27/2025,451,6,40000020634,115930,100
2/27/2025,451,6,40000028605,115932,200
2/27/2025,451,6,44000105672,115934,150
2/27/2025,451,6,44000346446,115937,100
2/28/2025,451,6,40000005650,115940,550
2/28/2025,451,6,40000029948,115943,50
2/28/2025,451,6,40000020770,115944,400
2/28/2025,451,6,41451005785,115946,250
2/28/2025,451,6,40000021413,115948,100
2/28/2025,451,6,40000027781,115953,100
2/28/2025,451,6,40000020696,115952,550
2/28/2025,451,6,41451002944,115955,150
2/28/2025,451,6,40000027932,115956,450
2/28/2025,451,6,44000196732,115958,150
2/28/2025,451,6,44000224453,115962,300
2/28/2025,451,6,40000028162,115960,150
2/28/2025,451,6,40000021223,115961,350
2/28/2025,451,6,44000105350,115963,50
2/28/2025,451,6,40000005337,115966,600
2/28/2025,451,6,41461003454,115967,200
2/28/2025,451,6,40000005331,115969,200
2/28/2025,451,6,40000020269,115971,350
2/28/2025,451,6,40000029432,115972,300
2/28/2025,451,6,40000027951,115978,250
2/28/2025,451,6,40000027610,115979,400
2/28/2025,451,6,40000020836,115984,100
2/28/2025,451,6,41451001701,115983,100
2/28/2025,451,6,40000007158,115988,150
2/28/2025,451,6,44000339231,115989,50
2/28/2025,451,6,40000022516,115987,200
2/28/2025,451,6,40000007426,115994,50
2/28/2025,451,6,40000020649,115995,650
3/1/2025,451,6,40000029161,116006,300
2/28/2025,451,6,40000005393,115999,100
3/1/2025,451,6,41451003798,116011,150
3/1/2025,451,6,40000005120,116012,150
3/1/2025,451,6,40000027852,116015,50
3/1/2025,451,6,40000027935,116016,50
3/1/2025,451,6,40000027611,116017,100
3/1/2025,451,6,40000027689,116013,100
3/1/2025,451,6,40000006097,116018,200
3/1/2025,451,6,40000027508,116021,200
3/1/2025,451,6,41451004608,116023,150
3/1/2025,451,6,40000017789,116019,100
3/1/2025,451,6,40000022502,116025,850
3/1/2025,451,6,40000027604,116029,100
