"sale_date","product_code","product_description","sum","sum-2"
"2025-05-01 00:00:00","84023020002.0","AM CH MILK 2% GALN 128 OZ","29","107.00999999999996"
"2025-05-01 00:00:00","84023020001.0","AM CH MILK WHOLE GAL 128 OZ","21","77.48999999999998"
"2025-05-01 00:00:00","84023020006.0","AM CH MILK 2% HGAL 64 OZ","9","25.109999999999996"
"2025-05-01 00:00:00","84023020005.0","AM CH MILK WHOLE HGAL 64 OZ","7","19.529999999999998"
"2025-05-01 00:00:00","84023020003.0","AM CH MILK 1% GAL 128 OZ","4","11.08"
"2025-05-01 00:00:00","84023020004.0","AM CH MILK SKIM GAL 128 OZ","3","11.07"
"2025-05-01 00:00:00","84023020008.0","AM CH MILK SKIM HGAL 64 OZ","2","5.58"
"2025-05-02 00:00:00","84023020002.0","AM CH MILK 2% GALN 128 OZ","30","110.69999999999999"
"2025-05-02 00:00:00","84023020001.0","AM CH MILK WHOLE GAL 128 OZ","14","51.660000000000004"
"2025-05-02 00:00:00","84023020006.0","AM CH MILK 2% HGAL 64 OZ","13","36.269999999999996"
"2025-05-02 00:00:00","84023020005.0","AM CH MILK WHOLE HGAL 64 OZ","7","19.529999999999998"
"2025-05-02 00:00:00","84023020004.0","AM CH MILK SKIM GAL 128 OZ","3","11.07"
"2025-05-02 00:00:00","84023020003.0","AM CH MILK 1% GAL 128 OZ","2","7.38"
"2025-05-02 00:00:00","84023020008.0","AM CH MILK SKIM HGAL 64 OZ","1","2.79"
"2025-05-03 00:00:00","84023020002.0","AM CH MILK 2% GALN 128 OZ","22","81.17999999999998"
"2025-05-03 00:00:00","84023020001.0","AM CH MILK WHOLE GAL 128 OZ","19","70.10999999999999"
"2025-05-03 00:00:00","84023020003.0","AM CH MILK 1% GAL 128 OZ","9","33.21"
"2025-05-03 00:00:00","84023020006.0","AM CH MILK 2% HGAL 64 OZ","8","22.319999999999997"
"2025-05-03 00:00:00","84023020005.0","AM CH MILK WHOLE HGAL 64 OZ","4","11.16"
"2025-05-03 00:00:00","84023020004.0","AM CH MILK SKIM GAL 128 OZ","2","7.38"
"2025-05-03 00:00:00","84023020008.0","AM CH MILK SKIM HGAL 64 OZ","1","2.79"
"2025-05-04 00:00:00","84023020002.0","AM CH MILK 2% GALN 128 OZ","43","158.66999999999996"
"2025-05-04 00:00:00","84023020001.0","AM CH MILK WHOLE GAL 128 OZ","29","107.00999999999998"
"2025-05-04 00:00:00","84023020006.0","AM CH MILK 2% HGAL 64 OZ","9","25.11"
"2025-05-04 00:00:00","84023020005.0","AM CH MILK WHOLE HGAL 64 OZ","7","19.53"
"2025-05-04 00:00:00","84023020003.0","AM CH MILK 1% GAL 128 OZ","5","18.45"
"2025-05-04 00:00:00","84023020004.0","AM CH MILK SKIM GAL 128 OZ","5","18.45"
"2025-05-04 00:00:00","84023020008.0","AM CH MILK SKIM HGAL 64 OZ","1","2.79"
"2025-05-05 00:00:00","84023020002.0","AM CH MILK 2% GALN 128 OZ","23","84.86999999999998"
"2025-05-05 00:00:00","84023020001.0","AM CH MILK WHOLE GAL 128 OZ","22","81.17999999999998"
"2025-05-05 00:00:00","84023020006.0","AM CH MILK 2% HGAL 64 OZ","8","22.319999999999997"
"2025-05-05 00:00:00","84023020005.0","AM CH MILK WHOLE HGAL 64 OZ","6","16.74"
"2025-05-05 00:00:00","84023020003.0","AM CH MILK 1% GAL 128 OZ","5","18.45"
"2025-05-05 00:00:00","84023020004.0","AM CH MILK SKIM GAL 128 OZ","2","7.38"
"2025-05-06 00:00:00","84023020002.0","AM CH MILK 2% GALN 128 OZ","47","161.95999999999992"
"2025-05-06 00:00:00","84023020001.0","AM CH MILK WHOLE GAL 128 OZ","28","98.88"
"2025-05-06 00:00:00","84023020003.0","AM CH MILK 1% GAL 128 OZ","13","47.23"
"2025-05-06 00:00:00","84023020006.0","AM CH MILK 2% HGAL 64 OZ","10","25.939999999999998"
"2025-05-06 00:00:00","84023020005.0","AM CH MILK WHOLE HGAL 64 OZ","6","15.34"
"2025-05-06 00:00:00","84023020004.0","AM CH MILK SKIM GAL 128 OZ","5","16.599999999999998"
"2025-05-07 00:00:00","84023020002.0","AM CH MILK 2% GALN 128 OZ","30","110.69999999999996"
"2025-05-07 00:00:00","84023020001.0","AM CH MILK WHOLE GAL 128 OZ","9","33.21"
"2025-05-07 00:00:00","84023020006.0","AM CH MILK 2% HGAL 64 OZ","7","19.529999999999998"
"2025-05-07 00:00:00","84023020005.0","AM CH MILK WHOLE HGAL 64 OZ","6","16.74"
"2025-05-07 00:00:00","84023020003.0","AM CH MILK 1% GAL 128 OZ","5","18.45"
"2025-05-07 00:00:00","84023020004.0","AM CH MILK SKIM GAL 128 OZ","4","14.76"
"2025-05-08 00:00:00","84023020002.0","AM CH MILK 2% GALN 128 OZ","31","114.38999999999997"
"2025-05-08 00:00:00","84023020001.0","AM CH MILK WHOLE GAL 128 OZ","16","59.040000000000006"
"2025-05-08 00:00:00","84023020006.0","AM CH MILK 2% HGAL 64 OZ","11","30.689999999999998"
"2025-05-08 00:00:00","84023020004.0","AM CH MILK SKIM GAL 128 OZ","4","14.76"
"2025-05-08 00:00:00","84023020005.0","AM CH MILK WHOLE HGAL 64 OZ","3","8.370000000000001"
"2025-05-08 00:00:00","84023020003.0","AM CH MILK 1% GAL 128 OZ","2","7.38"
"2025-05-09 00:00:00","84023020002.0","AM CH MILK 2% GALN 128 OZ","26","95.93999999999997"
"2025-05-09 00:00:00","84023020001.0","AM CH MILK WHOLE GAL 128 OZ","16","59.03999999999999"
"2025-05-09 00:00:00","84023020006.0","AM CH MILK 2% HGAL 64 OZ","14","39.059999999999995"
"2025-05-09 00:00:00","84023020005.0","AM CH MILK WHOLE HGAL 64 OZ","4","11.16"
"2025-05-09 00:00:00","84023020004.0","AM CH MILK SKIM GAL 128 OZ","4","14.76"
"2025-05-09 00:00:00","84023020003.0","AM CH MILK 1% GAL 128 OZ","2","5.54"
"2025-05-10 00:00:00","84023020002.0","AM CH MILK 2% GALN 128 OZ","32","118.07999999999998"
"2025-05-10 00:00:00","84023020006.0","AM CH MILK 2% HGAL 64 OZ","22","61.379999999999995"
"2025-05-10 00:00:00","84023020001.0","AM CH MILK WHOLE GAL 128 OZ","19","70.11"
"2025-05-10 00:00:00","84023020003.0","AM CH MILK 1% GAL 128 OZ","6","22.14"
"2025-05-10 00:00:00","84023020005.0","AM CH MILK WHOLE HGAL 64 OZ","4","11.16"
"2025-05-10 00:00:00","84023020004.0","AM CH MILK SKIM GAL 128 OZ","2","7.38"
"2025-05-10 00:00:00","84023020008.0","AM CH MILK SKIM HGAL 64 OZ","1","2.79"
"2025-05-11 00:00:00","84023020002.0","AM CH MILK 2% GALN 128 OZ","25","92.24999999999999"
"2025-05-11 00:00:00","84023020001.0","AM CH MILK WHOLE GAL 128 OZ","17","62.730000000000004"
"2025-05-11 00:00:00","84023020006.0","AM CH MILK 2% HGAL 64 OZ","11","30.69"
"2025-05-11 00:00:00","84023020008.0","AM CH MILK SKIM HGAL 64 OZ","3","8.370000000000001"
