"sale_date","sale_id","product_code","product_description","qty","total_sales","sub_department_description","sale_type","item_ring_type"
"2025-05-15 00:00:00","124213","5200004165.0","GAT GLACIER FREEZE 12OZ 6P 6 PK","1","5.49","Soft Drinks","Sale","ITEM"
"2025-05-15 00:00:00","374576","467.0","ACE HARDWARE","3","0.57","Hillman Fasteners","Sale","ITEM"
"2025-05-15 00:00:00","106319","4011.0","BANANA LB","1","1.81","Wic Produce","Sale","ITEM"
"2025-05-15 00:00:00","102695","4.0","PREMIUM","1","44.13","Premium","Sale","ITEM"
"2025-05-15 00:00:00","102677","4.0","PREMIUM","1","75","Premium","Sale","ITEM"
"2025-05-15 00:00:00","102701","4.0","PREMIUM","1","14.01","Premium","Sale","ITEM"
"2025-05-15 00:00:00","35237",NULL,"Instant Lottery","1","8","Instant Lottery","Sale","SUBD"
"2025-05-15 00:00:00","174187",NULL,"Cold Deli","1","25.99","Cold Deli","Sale","SUBD"
"2025-05-15 00:00:00","102700","2.0","UNLEADED","1","40","Unleaded","Sale","ITEM"
"2025-05-15 00:00:00","102697","2.0","UNLEADED","1","43.48","Unleaded","Sale","ITEM"
"2025-05-15 00:00:00","102696","2.0","UNLEADED","1","21.3","Unleaded","Sale","ITEM"
"2025-05-15 00:00:00","102693","2.0","UNLEADED","1","18","Unleaded","Sale","ITEM"
"2025-05-15 00:00:00","102689","2.0","UNLEADED","1","48","Unleaded","Sale","ITEM"
"2025-05-15 00:00:00","102684","2.0","UNLEADED","1","35.39","Unleaded","Sale","ITEM"
"2025-05-15 00:00:00","102681","2.0","UNLEADED","1","58.46","Unleaded","Sale","ITEM"
"2025-05-15 00:00:00","102705","3.0","MID GRADE 1 CT","1","58.27","Mid Grade","Sale","ITEM"
"2025-05-15 00:00:00","479641","225.0","PROPANE BULK  PER GALLON","4","15.96","Propane Fuel","Sale","ITEM"
"2025-05-15 00:00:00","106302","599.0","SINGLE DONUT","2","2.58","Cold Deli","Sale","ITEM"
"2025-05-15 00:00:00","106301","599.0","SINGLE DONUT","4","5.16","Cold Deli","Sale","ITEM"
"2025-05-15 00:00:00","106288","599.0","SINGLE DONUT","2","2.58","Cold Deli","Sale","ITEM"
"2025-05-15 00:00:00","106320","599.0","SINGLE DONUT","1","1.29","Cold Deli","Sale","ITEM"
"2025-05-15 00:00:00","106285","599.0","SINGLE DONUT","2","2.58","Cold Deli","Sale","ITEM"
"2025-05-15 00:00:00","174091","599.0","SINGLE DONUT","4","5.16","Cold Deli","Sale","ITEM"
"2025-05-15 00:00:00","174083","599.0","SINGLE DONUT","7","9.03","Cold Deli","Sale","ITEM"
"2025-05-15 00:00:00","479680","599.0","SINGLE DONUT","6","7.74","Cold Deli","Sale","ITEM"
"2025-05-15 00:00:00","479594","599.0","SINGLE DONUT","2","2.58","Cold Deli","Sale","ITEM"
"2025-05-15 00:00:00","149753","599.0","SINGLE DONUT","4","5.16","Cold Deli","Sale","ITEM"
"2025-05-15 00:00:00","149755","599.0","SINGLE DONUT","2","2.58","Cold Deli","Sale","ITEM"
"2025-05-15 00:00:00","149762","599.0","SINGLE DONUT","1","1.29","Cold Deli","Sale","ITEM"
"2025-05-15 00:00:00","149760","599.0","SINGLE DONUT","2","2.58","Cold Deli","Sale","ITEM"
"2025-05-15 00:00:00","124218","700.0","MISC FLORAL GIFTWARE","1","53.99","Floral","Sale","ITEM"
"2025-05-15 00:00:00","479677","700.0","MISC FLORAL GIFTWARE","1","9.99","Floral","Sale","ITEM"
"2025-05-15 00:00:00","106306","700.0","MISC FLORAL GIFTWARE","1","24.99","Floral","Sale","ITEM"
"2025-05-15 00:00:00","374557","703.0","VEGETABLE BEDDING PLANT 4 CELL","1","2.39","Wic Produce","Sale","ITEM"
"2025-05-15 00:00:00","479720","710.0","FLORAL HANGING BASKET","1","23.99","Floral","Sale","ITEM"
"2025-05-15 00:00:00","174132","730.0","FRESH ARRANGEMENT OR STEMS","1","24.99","Floral","Sale","ITEM"
"2025-05-15 00:00:00","479678","730.0","FRESH ARRANGEMENT OR STEMS","1","37.99","Floral","Sale","ITEM"
"2025-05-15 00:00:00","106391","899.0","HILLMAN FASTENERS","4","4.76","Hillman Fasteners","Sale","ITEM"
"2025-05-15 00:00:00","479662","3283.0","APPLE WA HONEYCRISP LB","1","6.1","Wic Produce","Sale","ITEM"
