customer_number,total_accrued_points,total_redeemed_points
40000004366,182,550
40000005306,19,500
40000006414,53,1250
40000006951,426,400
40000007396,107,100
40000008288,1209,1250
40000008483,1115,900
40000008557,550,600
40000008900,2182,2500
40000009149,552,300
40000009906,1034,350
40000010912,729,250
40000011516,898,500
40000020006,723,650
40000020009,2585,1900
40000020011,1468,1900
40000020012,757,750
40000020018,953,1200
40000020026,743,850
40000020028,762,950
40000020030,2916,1000
40000020050,1553,550
40000020059,684,250
40000020062,2572,1950
40000020063,4721,4900
40000020065,908,700
40000020071,295,400
40000020073,938,950
40000020078,11,50
40000020080,682,700
40000020082,42,300
40000020083,426,550
40000020084,3582,3550
40000020085,446,250
40000020110,203,250
40000020125,2889,1200
40000020126,513,3350
40000020144,179,150
40000020146,592,450
40000020148,494,150
40000020149,1275,800
40000020164,232,1250
40000020165,2982,1700
40000020167,627,250
40000020170,634,1050
40000020172,517,100
40000020173,2217,1600
40000020176,676,50
40000020193,451,450
40000020196,1026,300
40000020199,161,100
40000020201,1504,2150
40000020219,206,150
40000020220,423,250
40000020223,279,300
40000020228,1456,1350
40000020240,2204,2100
40000020253,569,1250
40000020257,147,150
40000020263,1044,1450
40000020264,2815,2500
40000020269,3178,3200
40000020272,1144,850
40000020275,1611,1250
40000020286,108,100
40000020294,1079,1050
40000020300,833,750
40000020306,1182,1450
40000020309,2188,1800
40000020310,147,150
40000020320,1355,1250
40000020337,688,800
40000020356,160,1200
40000020357,1391,700
40000020358,633,650
40000020365,241,400
40000020377,1804,1700
40000020390,5909,4350
40000020397,588,150
40000020408,904,1100
40000020418,2912,1950
40000020436,1324,950
40000020441,3341,4050
40000020446,2447,2550
40000020449,1984,2050
40000020466,432,200
40000020467,795,1150
40000020471,1147,1000
40000020485,363,250
40000020486,251,250
40000020487,422,700
40000020491,769,650
40000020493,1434,950
40000020495,1673,1550
40000020507,1125,1950
40000020516,1512,750
40000020533,864,1200
40000020534,1578,1700
40000020582,230,200
40000020599,171,150
40000020606,1419,750
40000020608,715,1250
40000020609,631,500
40000020611,1388,1250
40000020612,1935,2050
40000020615,292,100
40000020616,749,750
40000020617,496,300
40000020627,884,300
40000020631,1376,1150
40000020634,102,2850
40000020636,800,300
40000020649,1506,1050
40000020688,471,450
40000020696,1611,1900
40000020711,749,1200
40000020716,752,500
40000020720,754,500
40000020723,522,100
40000020745,1305,850
40000020751,1604,1000
40000020754,839,950
40000020760,2288,550
40000020770,1021,2750
40000020800,400,900
40000020808,765,300
40000020809,2835,2850
40000020813,205,150
40000020814,384,250
40000020821,1812,900
40000020836,88,100
40000020840,1002,500
40000020854,734,1050
40000020860,1267,1450
40000020867,562,600
40000020875,1345,1200
40000020876,494,400
40000020907,1282,1350
40000020923,106,150
40000020925,726,1100
40000020929,1421,1050
40000020944,1424,850
40000020946,644,50
40000020950,671,500
40000020959,417,500
